battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,price_range
1626,1,0.5,1,3,1,56,0.2,164,8,19,727,933,2569,16,18,10,1,0,0,2
1959,1,2.1,1,18,1,14,0.2,82,8,6,632,672,2611,6,8,3,1,0,1,2
1360,0,2.8,0,16,0,41,0.4,162,8,13,151,972,2762,8,16,15,0,1,0,2
1794,0,2.0,0,4,1,42,0.4,188,7,11,212,1946,3512,9,17,5,0,1,1,3
1630,1,2.7,0,6,0,44,0.3,123,5,9,1015,1519,589,6,0,16,0,0,1,1
1595,0,2.3,0,17,1,44,0.6,178,6,7,1257,1416,2818,16,13,18,0,0,0,2
1544,1,0.8,0,20,0,56,0.5,149,3,16,862,938,2744,12,3,20,1,1,1,2
621,1,2.8,0,6,1,59,0.1,93,8,13,622,1515,2976,5,9,7,0,1,0,2
966,0,0.7,1,16,1,32,0.4,83,5,7,360,1580,2694,7,13,10,0,0,1,2
1738,1,1.8,0,6,1,17,0.8,188,4,13,319,997,2051,11,6,18,1,1,0,2
830,1,0.9,1,3,0,43,0.7,194,2,16,221,668,3238,14,11,16,1,0,0,2
1982,1,0.5,0,7,0,62,0.8,97,2,13,1761,1488,2863,5,15,6,1,0,1,3
587,1,1.6,1,12,0,57,0.7,172,5,10,209,1060,509,17,4,19,1,1,0,0
1896,0,1.2,1,3,1,45,0.4,178,7,20,1419,927,3913,15,10,5,1,0,0,3
1623,1,1.7,1,5,1,58,0.2,131,2,3,930,918,3662,19,3,3,1,0,1,3
1371,1,1.9,0,4,0,7,0.3,117,6,14,1606,1870,1679,6,12,20,0,1,1,1
630,1,0.6,0,11,1,29,0.8,159,2,14,488,954,3493,7,7,6,0,0,1,2
1832,0,0.8,0,3,0,33,1.0,99,6,9,1895,1213,3587,18,6,5,1,0,0,3
1269,1,1.9,0,8,0,45,0.5,167,4,14,600,701,1283,18,10,6,0,1,0,1
843,0,1.4,1,3,0,11,0.1,178,8,5,773,678,2167,6,10,20,1,1,0,1
1937,0,2.3,0,18,0,51,0.2,123,3,7,877,556,2422,6,16,14,1,0,1,2
1305,1,2.1,1,13,1,19,0.4,130,1,7,1487,1445,1251,16,13,17,0,0,1,1
885,1,2.6,1,4,1,5,0.6,98,5,13,699,1000,725,15,1,13,0,1,0,0
1715,0,2.2,0,17,1,64,0.2,199,5,13,1647,1238,1749,10,7,10,0,1,1,2
1455,1,1.6,0,9,0,10,0.9,147,6,18,451,611,3088,11,1,17,0,0,1,2
776,0,2.2,0,18,1,8,0.4,176,4,8,412,1671,3820,10,14,15,0,0,1,2
1684,0,1.2,1,11,0,51,0.9,145,4,16,1957,1214,2143,15,4,2,1,0,1,2
959,1,1.3,0,17,0,9,0.8,92,7,18,1774,1901,1779,10,5,5,0,0,1,1
1837,1,2.5,1,16,0,44,0.8,141,1,11,475,1376,1349,19,16,10,0,1,0,1
521,0,1.6,0,10,0,8,0.6,140,8,7,255,1871,949,13,7,20,1,1,0,0
752,0,2.5,1,2,0,42,0.7,188,3,10,1173,1881,3168,12,18,15,0,1,1,2
1247,0,2.6,0,16,0,41,0.7,109,5,16,126,1579,3079,18,4,13,0,1,1,2
1356,0,2.6,0,0,1,4,0.7,177,6,17,391,1312,1649,12,18,5,0,0,0,1
974,1,2.8,1,14,1,18,0.6,109,4,9,1854,1839,2300,10,13,8,0,1,0,1
1582,1,1.6,0,8,1,3,1.0,130,8,17,479,1463,436,9,9,18,0,0,0,1
